nest,year,treatment,comments
4,2013,1,NA
19,2013,1,NA
100,2017,0,NA
28,2013,1,NA
119,2014,0,NA
1,2015,0,NA
33,2013,1,NA
39,2013,1,NA
12,2014,0,NA
67,2013,1,NA
12,2017,0,NA
79,2013,1,NA
85,2013,1,NA
147,2017,0,NA
18,2017,0,NA
20,2014,0,NA
19,2015,0,NA
19,2016,0,NA
19,2017,0,NA
72,2014,0,NA
28,2014,0,NA
28,2015,0,NA
33,2014,0,NA
22,2013,0,NA
22,2017,0,NA
23,2013,0,NA
23,2017,0,NA
44,2014,0,NA
75,2014,0,NA
30,2016,0,NA
77,2014,0,NA
31,2013,0,NA
78,2014,0,NA
88,2014,0,NA
35,2014,1,NA
35,2015,0,NA
39,2015,0,NA
53,2015,0,NA
35,2013,0,NA
67,2015,0,NA
75,2015,0,NA
78,2015,0,NA
42,2016,0,NA
85,2015,0,NA
47,2014,1,NA
88,2015,0,NA
89,2015,0,NA
97,2015,0,NA
100,2015,0,NA
119,2015,0,NA
58,2016,0,NA
59,2016,0,NA
51,2017,0,NA
4,2015,1,NA
41,2016,0,NA
58,2017,0,NA
77,2016,0,NA
78,2016,0,NA
75,2016,0,NA
130,2016,0,NA
8,2016,0,NA
50,2014,1,NA
8,2015,1,NA
1,2016,1,NA
72,2013,0,NA
51,2014,1,NA
3,2016,1,NA
4,2016,1,NA
59,2014,1,NA
12,2015,1,NA
75,2017,0,NA
23,2016,1,NA
75,2013,0,NA
31,2016,1,NA
67,2014,1,NA
77,2013,0,NA
76,2014,1,NA
51,2016,1,NA
53,2016,1,NA
79,2014,1,NA
63,2016,1,NA
89,2016,1,NA
97,2016,1,NA
89,2017,0,NA
8,2017,0,NA
85,2014,1,NA
7,2013,0,NA
95,2017,0,NA
20,2015,1,NA
97,2014,1,NA
98,2017,0,NA
100,2014,1,NA
1,2017,1,NA
5,2017,1,NA
30,2015,1,NA
8,2013,0,NA
33,2015,1,NA
100,2016,1,NA
28,2017,1,NA
59,2015,1,NA
30,2017,1,NA
31,2017,1,NA
33,2017,1,NA
59,2017,1,NA
110,2016,1,NA
98,2013,0,NA
63,2017,1,NA
78,2017,1,NA
72,2015,1,NA
95,2015,1,NA
130,2015,1,NA
97,2017,1,NA
77,2017,1,wolverine predation
42,2017,1,failed <5 days
16,2013,0,NA
30,2013,0,NA
50,2013,0,NA
78,2013,0,NA
88,2013,0,NA
19,2014,0,NA
3,2014,0,NA
5,2014,0,NA
63,2014,0,NA
65,2014,0,NA
8,2014,0,NA
95,2014,0,NA
74,2015,0,NA
137,2016,0,NA
145,2016,0,NA
147,2016,0,NA
37,2016,0,NA
98,2016,0,NA