"","Image_name","site","date","month","yday","hour","adult","nestling","sband","bband","eggs","day_night"
"1","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_1480 (4).JPG",1,2016-07-23 17:17:47,7,205,17,1,0,0,0,0,"day"
"2","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_2559 (4).JPG",1,2016-07-25 13:49:54,7,207,13,1,0,0,0,0,"day"
"3","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/Post-hatch/IMG_2884 (4).JPG",1,2016-07-25 17:07:16,7,207,17,0,1,0,0,0,"day"
"4","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_0460 (2).JPG",1,2016-06-22 11:33:07,6,174,11,1,0,0,0,0,"day"
"5","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_1033 (2).JPG",1,2016-06-23 12:24:17,6,175,12,1,0,0,0,0,"day"
"6","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_5817.JPG",1,2016-06-30 09:16:00,6,182,9,1,0,0,0,3,"day"
"7","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_4312.JPG",1,2016-06-19 14:43:23,6,171,14,1,0,0,0,1,"day"
"8","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_4688.JPG",1,2016-06-20 07:10:55,6,172,7,1,0,0,0,1,"day"
"9","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_0929 (3).JPG",1,2016-07-03 13:42:45,7,185,13,1,0,0,0,1,"day"
"10","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 1/IMG_4436.JPG",1,2016-06-20 10:04:38,6,172,10,1,0,0,0,2,"day"
"11","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1423 (2).JPG",3,2016-07-27 08:14:24,7,209,8,1,1,0,0,0,"day"
"12","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0678 (4).JPG",3,2016-08-10 18:57:48,8,223,18,0,1,0,0,0,"day"
"13","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1513 (2).JPG",3,2016-07-27 16:31:46,7,209,16,1,0,0,0,0,"day"
"14","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1224 (3).JPG",3,2016-08-07 11:02:30,8,220,11,0,1,0,0,0,"day"
"15","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0943.JPG",3,2016-07-23 08:32:26,7,205,8,1,0,0,0,0,"day"
"16","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1365.JPG",3,2016-07-24 01:26:08,7,206,1,1,2,0,0,0,"night"
"17","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0763.JPG",3,2016-07-23 01:58:34,7,205,1,1,1,0,0,0,"night"
"18","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0684 (3).JPG",3,2016-08-07 01:54:34,8,220,1,0,1,0,0,0,"night"
"19","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1934 (2).JPG",3,2016-08-13 03:19:24,8,226,3,0,1,0,0,0,"night"
"20","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1408.JPG",3,2016-07-24 02:25:00,7,206,2,1,0,0,0,0,"night"
"21","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1920.JPG",3,2016-07-28 18:43:20,7,210,18,1,3,0,0,1,"day"
"22","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1904.JPG",3,2016-07-28 18:40:10,7,210,18,1,1,0,0,1,"day"
"23","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0907 (2).JPG",3,2016-07-26 15:49:32,7,208,15,1,0,0,0,1,"day"
"24","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1397 (2).JPG",3,2016-07-27 07:32:46,7,209,7,1,0,0,0,2,"day"
"25","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_0066.JPG",3,2016-07-19 11:51:56,7,201,11,1,1,0,0,1,"day"
"26","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1406.JPG",3,2016-07-24 02:15:54,7,206,2,1,2,0,0,1,"night"
"27","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/2016-07-15 05-23-48.JPG",3,2016-07-15 01:23:48,7,197,1,1,0,0,0,4,"night"
"28","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1376.JPG",3,2016-07-24 01:45:36,7,206,1,1,0,0,0,1,"night"
"29","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/2016-07-15 05-23-50.JPG",3,2016-07-15 01:23:50,7,197,1,1,0,0,0,2,"night"
"30","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 3/Post-hatch/IMG_1232 (2).JPG",3,2016-07-27 01:45:18,7,209,1,1,2,0,0,1,"night"
"31","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_1973 (7).JPG",4,2016-08-11 10:39:52,8,224,10,0,2,0,0,0,"day"
"32","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_0253 (3).JPG",4,2016-06-28 10:19:58,6,180,10,1,0,0,0,0,"day"
"33","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_0065 (6).JPG",4,2016-07-25 17:56:53,7,207,17,1,1,0,0,0,"day"
"34","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/IMG_2165 (4).JPG",4,2016-08-07 10:56:09,8,220,10,0,1,0,0,0,"day"
"35","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/Post-hatch/2016-07-20 04-06-08 AM M 01_03.JPG",4,2016-07-20 10:06:08,7,202,10,1,0,0,0,0,"day"
"36","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/2016-07-10 03-04-53 AM M 03_03.JPG",4,2016-07-10 09:04:53,7,192,9,1,0,0,0,2,"day"
"37","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_3539.JPG",4,2016-06-25 13:28:09,6,177,13,1,0,0,0,2,"day"
"38","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_4488 (2).JPG",4,2016-07-02 11:51:04,7,184,11,1,0,0,0,2,"day"
"39","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/2016-07-09 01-29-13 PM M 03_03.JPG",4,2016-07-09 07:29:13,7,191,7,1,0,0,0,2,"day"
"40","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_0398 (3).JPG",4,2016-06-28 12:27:30,6,180,12,1,0,0,0,1,"day"
"41","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_4483 (2).JPG",8,2016-07-09 08:39:27,7,191,8,1,1,0,0,0,"day"
"42","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/IMG_4536 (3).JPG",8,2016-07-07 17:06:30,7,189,17,1,0,0,0,0,"day"
"43","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_0026 (8).JPG",8,2016-07-30 10:31:31,7,212,10,0,2,0,0,0,"day"
"44","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/2016-07-15 01-13-08 PM M 01_03.JPG",8,2016-07-15 07:13:08,7,197,7,1,1,0,0,0,"day"
"45","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/2016-07-15 09-47-50 PM M 02_03.JPG",8,2016-07-15 15:47:50,7,197,15,1,1,0,0,0,"day"
"46","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/Post-hatch/IMG_6613 (2).JPG",8,2016-07-07 16:04:15,7,189,16,1,0,0,0,1,"day"
"47","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 4/IMG_0023 (3).JPG",8,2016-06-11 17:41:17,6,163,17,0,0,0,0,1,"day"
"48","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/IMG_1927.JPG",8,2016-06-24 18:20:06,6,176,18,1,0,0,0,2,"day"
"49","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/IMG_4719.JPG",8,2016-06-25 14:10:18,6,177,14,0,0,0,0,3,"day"
"50","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 8/IMG_1671 (3).JPG",8,2016-07-05 12:22:55,7,187,12,1,0,0,0,2,"day"
"51","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_1647 (2).JPG",12,2016-06-15 07:53:31,6,167,7,1,0,0,0,0,"day"
"52","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_1374 (2).JPG",12,2016-06-23 15:51:39,6,175,15,1,0,0,0,0,"day"
"53","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/Post-hatch/2016-07-10 06-13-26 AM M 02_03.JPG",12,2016-07-10 12:13:26,7,192,12,1,0,0,0,0,"day"
"54","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/2016-07-07 02-03-43 AM M 01_03.JPG",12,2016-07-07 08:03:43,7,189,8,1,0,0,0,0,"day"
"55","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_4883.JPG",12,2016-06-18 12:02:34,6,170,12,1,0,0,0,0,"day"
"56","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/2016-07-07 11-35-58 PM M 01_03.JPG",12,2016-07-07 17:35:58,7,189,17,1,0,0,0,3,"day"
"57","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_2019.JPG",12,2016-06-23 16:39:51,6,175,16,1,0,0,0,1,"day"
"58","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/2016-07-06 12-37-38 PM M 02_03.JPG",12,2016-07-06 18:37:38,7,188,18,1,0,0,1,2,"day"
"59","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_1677 (2).JPG",12,2016-06-23 17:55:27,6,175,17,1,0,0,0,4,"day"
"60","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 12/IMG_8447.JPG",12,2016-06-21 12:31:48,6,173,12,1,0,0,0,1,"day"
"61","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/IMG_8265 (2).JPG",19,2016-07-06 18:50:27,7,188,18,1,0,0,0,0,"day"
"62","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/IMG_2381 (2).JPG",19,2016-07-02 14:40:15,7,184,14,1,0,0,0,0,"day"
"63","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/IMG_1472 (2).JPG",19,2016-07-07 16:02:59,7,189,16,1,0,0,0,0,"day"
"64","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_0849 (4).JPG",19,2016-07-26 15:30:45,7,208,15,1,1,0,0,0,"day"
"65","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_8277 (4).JPG",19,2016-07-24 18:09:54,7,206,18,1,1,0,0,0,"day"
"66","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/Post-hatch/IMG_2251 (3).JPG",19,2016-07-26 07:12:27,7,208,7,1,1,0,0,1,"day"
"67","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/2016-07-09 07-14-11 PM M 02_03.JPG",19,2016-07-09 13:14:11,7,191,13,0,0,0,0,1,"day"
"68","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/IMG_0915 (3).JPG",19,2016-07-01 15:13:54,7,183,15,1,0,0,0,1,"day"
"69","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/IMG_8301.JPG",19,2016-07-06 07:03:51,7,188,7,1,0,0,0,1,"day"
"70","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 19/IMG_4969 (2).JPG",19,2016-06-26 17:12:13,6,178,17,1,0,0,0,1,"day"
"71","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_1106 (3).JPG",23,2016-08-06 08:08:18,8,219,8,0,3,0,0,0,"day"
"72","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-07-23 11-31-44.JPG",23,2016-07-23 07:31:44,7,205,7,0,1,0,0,0,"day"
"73","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_1678.JPG",23,2016-07-26 15:27:42,7,208,15,0,3,0,0,0,"day"
"74","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-09 13-12-34.JPG",23,2016-08-09 09:12:34,8,222,9,0,2,0,0,0,"day"
"75","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-07-07 15-14-54_001.JPG",23,2016-07-07 11:14:54,7,189,11,1,0,0,0,0,"day"
"76","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-11 05-56-36.JPG",23,2016-08-11 01:56:36,8,224,1,0,2,0,0,0,"night"
"77","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-07-23 07-58-38.JPG",23,2016-07-23 03:58:38,7,205,3,0,1,0,0,0,"night"
"78","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_4428.JPG",23,2016-07-28 01:23:04,7,210,1,0,2,0,0,0,"night"
"79","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/IMG_2242.JPG",23,2016-07-27 01:24:54,7,209,1,1,2,0,0,0,"night"
"80","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-08-08 05-32-22.JPG",23,2016-08-08 01:32:22,8,221,1,0,1,0,0,0,"night"
"81","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-06-15 13-51-36.JPG",23,2016-06-15 09:51:36,6,167,9,1,0,0,0,3,"day"
"82","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/Post-hatch/2016-07-20 13-13-16.JPG",23,2016-07-20 09:13:16,7,202,9,1,1,0,0,1,"day"
"83","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-06-19 15-52-56.JPG",23,2016-06-19 11:52:56,6,171,11,1,0,0,0,3,"day"
"84","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-06-20 21-52-34_001.JPG",23,2016-06-20 17:52:34,6,172,17,1,1,0,0,3,"day"
"85","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-06-15 12-02-16.JPG",23,2016-06-15 08:02:16,6,167,8,0,0,0,0,3,"day"
"86","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-07-10 05-28-10_001.JPG",23,2016-07-10 01:28:10,7,192,1,1,0,0,0,4,"night"
"87","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-06-21 07-59-36_001.JPG",23,2016-06-21 03:59:36,6,173,3,1,0,0,0,2,"night"
"88","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-06-27 05-27-42_001.JPG",23,2016-06-27 01:27:42,6,179,1,1,0,0,0,2,"night"
"89","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-07-09 07-58-52_001.JPG",23,2016-07-09 03:58:52,7,191,3,1,0,0,0,3,"night"
"90","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 23/2016-07-08 06-18-10.JPG",23,2016-07-08 02:18:10,7,190,2,0,0,0,0,3,"night"
"91","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/2016-07-08 12-57-59 PM M 02_03.JPG",28,2016-07-08 18:57:59,7,190,18,1,0,0,0,0,"day"
"92","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/IMG_3609 (2).JPG",28,2016-06-24 13:04:51,6,176,13,1,0,0,0,0,"day"
"93","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/IMG_8856.JPG",28,2016-06-26 14:54:34,6,178,14,1,0,0,0,0,"day"
"94","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/IMG_1431 (2).JPG",28,2016-06-24 18:09:13,6,176,18,1,0,0,0,0,"day"
"95","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/2016-07-10 05-59-42 AM M 03_03.JPG",28,2016-07-10 11:59:42,7,192,11,1,0,0,0,0,"day"
"96","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/2016-07-08 09-33-41 AM M 03_03.JPG",28,2016-07-08 15:33:41,7,190,15,1,0,0,0,3,"day"
"97","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/2016-07-09 02-16-24 PM M 03_03.JPG",28,2016-07-09 08:16:24,7,191,8,0,0,0,0,4,"day"
"98","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/2016-07-08 01-15-07 PM M 01_03.JPG",28,2016-07-08 07:15:07,7,190,7,1,0,0,0,3,"day"
"99","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/2016-07-09 11-03-05 AM M 02_03.JPG",28,2016-07-09 17:03:05,7,191,17,1,0,0,0,3,"day"
"100","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 28/2016-07-08 05-28-26 AM M 02_03.JPG",28,2016-07-08 11:28:26,7,190,11,1,0,0,0,1,"day"
"101","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 30/Post-hatch/2016-07-18 06-47-47 AM M 01_03.JPG",30,2016-07-18 12:47:47,7,200,12,0,3,0,0,0,"day"
"102","/Volumes/Seagate Backup Plus Drive/Reconyx_2016/Rankin 2016/Site 30/2016-07-10 11-00-54 AM M 03_03.JPG",30,2016-07-10 17:00:54,7,192,17,1,0,0,0,0,"day"
